0: {(city,=,"Iasi");(wind,<=,80)}
70: {(rain,<,39.5);(temp,<=,-7);(city,<=,"Iasi");(stationid,!=,94);(wind,!=,94);(direction,>,"N")}
17: {(rain,<=,21.8);(temp,!=,1);(city,=,"Craiova");(wind,>=,2)}
71: {(rain,<=,18.2);(temp,<,27);(city,=,"Brasov");(wind,!=,87)}
72: {(temp,>,-2)}
26: {(rain,>=,10.3);(city,<,"Cluj");(stationid,<,56);(wind,<,79)}
77: {(rain,<,4.4);(temp,<=,30);(city,=,"Constanta")}
28: {(temp,!=,3);(city,=,"Iasi")}
83: {(temp,>=,-3);(city,=,"Craiova");(wind,<=,14)}
89: {(date,<=,16.12.2023);(city,=,"Iasi");(stationid,>,79);(wind,>,92)}
30: {(temp,>,14);(city,=,"Iasi");(direction,>,"SE")}
33: {(rain,<,46.1);(city,=,"Bucharest");(stationid,<,65)}
35: {(city,>=,"Bucharest")}
38: {(date,!=,02.01.2024);(rain,<=,25.0);(temp,<,1);(city,=,"Craiova");(wind,>,47)}
41: {(city,=,"Constanta");(wind,<,88)}
44: {(rain,<=,9.1);(temp,!=,12);(city,=,"Bucharest")}
47: {(rain,>=,29.1);(temp,<=,15);(city,>,"Cluj")}
61: {(temp,<=,11);(city,<,"Constanta")}
63: {(temp,>,11);(direction,>=,"N")}
69: {(temp,<,24);(city,=,"Brasov");(wind,!=,52)}
73: {(city,!=,"Brasov");(wind,<=,45)}
75: {(rain,>,2.1);(city,=,"Brasov");(stationid,<,3);(wind,!=,89)}
78: {(rain,>,6.3);(temp,!=,7);(city,>=,"Craiova");(stationid,<=,16);(wind,!=,72);(direction,!=,"E")}
81: {(temp,<=,23)}
84: {(rain,<,49.1);(temp,!=,-4);(city,>,"Cluj")}
88: {(city,=,"Brasov");(wind,>,52)}
92: {(temp,<=,-1);(city,!=,"Craiova");(wind,>,61)}
94: {(rain,!=,13.9);(temp,>,5);(city,=,"Constanta");(wind,>=,91)}
100: {(city,!=,"Brasov");(stationid,!=,75)}
102: {(temp,>,-10);(city,=,"Bucharest");(wind,>,16)}
90: {(rain,!=,23.3);(city,=,"Brasov");(stationid,>,58);(wind,>=,29)}
104: {(rain,>=,5.0);(temp,!=,28);(city,=,"Craiova");(wind,!=,62);(direction,>=,"NW")}
91: {(city,>,"Iasi")}
108: {(rain,>,42.6);(temp,>=,11);(city,>,"Cluj");(stationid,>,86)}
96: {(temp,<,11);(city,=,"Timisoara");(stationid,>=,49);(wind,!=,19)}
110: {(rain,>=,7.3);(temp,<,30)}
111: {(temp,>,22);(city,=,"Bucharest");(wind,>=,28)}
113: {(rain,<,21.2);(temp,<,15);(city,=,"Bucharest");(stationid,>,15)}
118: {(city,>=,"Constanta")}
120: {(temp,<,3);(city,=,"Constanta");(wind,<=,2)}
123: {(city,=,"Brasov");(stationid,!=,60)}
125: {(city,=,"Cluj")}
128: {(temp,<,18);(stationid,<,54)}
130: {(date,>,13.12.2025);(rain,>,34.9);(city,=,"Bucharest");(wind,<=,82)}
132: {(rain,<,3.8);(wind,<=,42)}
134: {(city,>,"Iasi");(wind,<=,91)}
97: {(rain,!=,7.9);(temp,!=,21);(city,<=,"Craiova");(stationid,>,90)}
140: {(rain,<=,18.3);(temp,>=,19);(city,=,"Bucharest");(stationid,<,90);(wind,!=,46)}
142: {(stationid,>=,36);(direction,>,"NE")}
101: {(rain,>=,3.2);(temp,>,-6);(city,=,"Bucharest");(wind,>,72)}
105: {}
144: {(temp,<,21);(wind,<=,70)}
107: {(rain,<,36.0);(temp,>,-6);(city,=,"Iasi")}
145: {(rain,!=,15.7);(temp,>=,-8);(city,=,"Bucharest");(wind,<=,25)}
109: {(temp,>=,-1);(city,>,"Constanta")}
146: {(temp,>,11);(city,=,"Constanta");(wind,<=,5);(direction,<=,"SE")}
147: {(rain,<,20.2);(city,<,"Craiova")}
114: {(temp,>=,-1);(stationid,<=,52)}
149: {(temp,>=,-1);(city,=,"Bucharest");(wind,>,99)}
150: {(rain,>,45.2);(temp,>,22);(city,>=,"Iasi");(wind,<,97)}
115: {(city,=,"Craiova");(stationid,>,94)}
151: {(stationid,!=,44);(wind,>=,92)}
153: {(temp,>,3);(city,=,"Constanta");(stationid,<=,26);(wind,<=,45);(direction,!=,"NE")}
158: {(city,=,"Bucharest")}
121: {(temp,>,4);(city,=,"Cluj")}
159: {(date,>,26.09.2024);(rain,>=,22.2);(temp,>,-10);(city,=,"Iasi")}
161: {(temp,>,10)}
163: {(rain,>=,10.3);(temp,!=,19);(city,=,"Brasov");(stationid,<,26)}
165: {(rain,<=,42.6);(city,=,"Constanta")}
176: {(rain,>=,3.8);(temp,<=,3);(city,>,"Timisoara");(stationid,>=,17);(direction,>=,"SW")}
183: {(stationid,!=,1);(direction,!=,"E")}
127: {(temp,>,-5);(city,>,"Constanta");(stationid,>,16);(direction,!=,"NW")}
185: {(temp,<,11);(city,=,"Timisoara");(stationid,>=,34);(wind,<=,9)}
135: {(city,=,"Cluj");(wind,<,28)}
187: {(city,=,"Brasov");(wind,>=,6)}
188: {(rain,<=,14.1);(stationid,<,58);(wind,<=,93)}
138: {(rain,>=,2.3);(temp,<=,15);(city,=,"Bucharest");(wind,>,28)}
194: {(date,<=,13.05.2025);(city,=,"Craiova");(stationid,>,52);(wind,<,0);(direction,>=,"SW")}
198: {(city,=,"Timisoara")}
141: {(rain,!=,4.8);(temp,>=,18);(city,>,"Iasi")}
143: {(city,=,"Constanta");(wind,<,18);(direction,>,"SE")}
152: {(date,!=,02.02.2025);(temp,>=,15);(city,=,"Constanta")}
154: {(rain,>,30.6);(city,=,"Craiova");(direction,!=,"SW")}
199: {(temp,>=,21);(city,=,"Iasi")}
160: {(rain,<,8.9);(city,=,"Craiova");(stationid,<,10);(wind,!=,28)}
162: {(rain,>=,44.4);(temp,<=,30);(city,<,"Craiova");(stationid,!=,15);(wind,<,44)}
202: {(city,<=,"Constanta");(direction,<=,"NE")}
208: {(temp,<=,0);(city,>,"Cluj")}
167: {(city,<=,"Bucharest");(stationid,<=,93)}
209: {(temp,>=,-7);(city,=,"Cluj");(stationid,<,68);(direction,>=,"S")}
210: {(temp,<=,-6);(city,=,"Bucharest")}
169: {(rain,<,25.5);(city,>,"Brasov");(wind,!=,46)}
211: {(city,=,"Bucharest");(stationid,<=,90);(wind,>=,53)}
213: {(city,>,"Cluj");(stationid,<=,21);(wind,<,55);(direction,>,"SE")}
173: {(rain,<=,43.0);(temp,>,23);(city,=,"Brasov");(stationid,>,47);(wind,>,43);(direction,<,"NW")}
217: {(rain,!=,2.3);(city,<,"Bucharest")}
174: {(city,=,"Bucharest");(wind,>=,54);(direction,<=,"N")}
219: {(temp,<=,30);(city,=,"Cluj")}
220: {(rain,<=,43.4);(temp,!=,-10);(city,=,"Iasi");(stationid,!=,8);(wind,<=,31);(direction,!=,"SW")}
221: {(rain,>,24.2);(temp,<=,-10);(city,<=,"Iasi")}
177: {(date,>,16.07.2025);(temp,>=,2);(city,=,"Timisoara");(stationid,<,15)}
222: {(temp,>=,27);(city,=,"Iasi");(wind,>=,45)}
223: {(temp,<=,8);(city,=,"Craiova");(wind,<,55)}
180: {(temp,<,19);(city,>,"Iasi");(wind,<,89)}
224: {(rain,>,18.9);(city,=,"Craiova");(wind,!=,8);(direction,<,"NE")}
182: {(rain,<=,48.7);(temp,<,10);(city,=,"Brasov");(wind,>=,26);(direction,<=,"S")}
184: {(city,=,"Brasov")}
226: {(rain,<,46.0);(temp,>,5);(city,>,"Iasi");(wind,<=,0)}
189: {(rain,<=,46.9);(city,<,"Iasi");(wind,<=,60);(direction,<,"E")}
229: {(city,=,"Craiova");(wind,!=,13)}
191: {(stationid,!=,59);(wind,<,9);(direction,>,"E")}
233: {(rain,>=,9.9);(temp,>,17);(city,=,"Cluj")}
234: {(city,=,"Timisoara");(stationid,<=,97);(direction,<,"N")}
192: {(rain,<,14.0);(city,=,"Constanta");(stationid,>=,55)}
235: {(temp,>,13);(city,=,"Cluj");(wind,<,66)}
241: {(rain,!=,7.0);(city,=,"Cluj");(stationid,>,66)}
201: {(rain,>,19.0);(city,=,"Cluj")}
203: {(date,!=,25.01.2025)}
205: {(rain,>=,7.8);(temp,<,-9);(city,=,"Craiova")}
206: {(city,>,"Timisoara");(direction,<=,"SW")}
218: {(city,>,"Craiova")}
230: {(rain,<,14.9);(temp,<=,5);(city,=,"Constanta");(wind,>=,79)}
232: {(date,<=,16.01.2023);(temp,<=,30);(city,<,"Bucharest")}
236: {(rain,!=,1.6);(city,=,"Constanta");(wind,>=,10)}
243: {(rain,>,33.5);(temp,!=,21);(city,=,"Brasov");(wind,!=,44)}
245: {(date,<=,18.01.2023);(city,>,"Constanta");(stationid,<,61);(wind,<,61);(direction,>=,"E")}
242: {(date,<,14.05.2025);(temp,>,-6);(city,<=,"Iasi")}
246: {(rain,>=,42.2);(temp,<,-10);(city,=,"Iasi");(wind,>=,25)}
249: {(rain,>,40.8);(city,!=,"Timisoara");(wind,<=,49)}
3: {(temp,!=,7);(city,=,"Cluj");(wind,<=,53)}
244: {(temp,!=,-6);(city,=,"Craiova");(wind,>=,50)}
256: {(rain,<,44.8);(city,=,"Iasi")}
259: {(temp,>=,6);(city,!=,"Brasov")}
262: {(rain,!=,40.6);(temp,<=,-7);(wind,!=,5)}
248: {(temp,<=,0);(city,=,"Constanta")}
267: {(rain,<,46.7);(temp,>,15);(city,>,"Constanta")}
272: {(temp,!=,7);(city,=,"Timisoara");(wind,<=,94)}
274: {(rain,>=,45.3);(temp,>=,25)}
275: {(temp,>=,19);(city,<=,"Craiova");(stationid,>,17)}
277: {(date,<,14.03.2024);(stationid,!=,70);(wind,>=,91)}
250: {(rain,>=,36.3);(city,=,"Bucharest")}
278: {(rain,>,21.3);(temp,>=,29);(city,>,"Constanta");(wind,!=,100);(direction,<=,"NW")}
253: {(city,=,"Brasov");(wind,>,0)}
282: {(rain,>,36.9)}
4: {(date,!=,18.07.2024);(city,=,"Bucharest");(stationid,>=,51);(wind,>=,91);(direction,>=,"SE")}
283: {(rain,!=,30.3);(temp,>=,14);(city,=,"Craiova");(stationid,!=,3);(wind,<,14)}
254: {(rain,<,27.7);(temp,<=,17);(stationid,<=,42);(wind,<=,84)}
16: {(rain,>,36.1);(temp,<,-1);(city,=,"Brasov")}
255: {(city,>=,"Timisoara");(wind,<,52);(direction,<=,"NW")}
285: {(date,<=,04.10.2025);(rain,!=,42.2);(temp,>,14);(city,=,"Brasov");(wind,!=,80)}
19: {(temp,>,13);(city,=,"Bucharest")}
257: {(date,<=,20.04.2024);(rain,<,13.9);(wind,>,6)}
290: {(temp,<=,-4);(city,=,"Brasov");(wind,<=,91);(direction,<=,"N")}
260: {(temp,!=,9);(city,=,"Timisoara")}
263: {(city,>,"Craiova");(stationid,!=,34)}
293: {(rain,<=,22.5);(city,=,"Constanta");(stationid,!=,49);(wind,!=,22)}
21: {(date,>=,14.09.2025);(rain,<,39.1);(temp,!=,17);(city,!=,"Timisoara");(wind,>,100)}
264: {(rain,<,2.5);(city,=,"Craiova");(wind,>=,51)}
24: {(wind,>=,40)}
265: {(rain,!=,34.5);(temp,<=,-6);(city,=,"Brasov");(stationid,<=,54);(wind,>,46);(direction,<,"NW")}
294: {(rain,>,36.3);(city,=,"Constanta")}
268: {(rain,>=,6.8);(temp,!=,-8);(city,=,"Iasi");(stationid,>=,15);(wind,!=,7)}
269: {(rain,>=,6.1);(temp,>=,3);(stationid,>,91)}
25: {(date,!=,23.03.2025);(rain,<=,33.9);(temp,<=,22);(city,>,"Bucharest");(stationid,<=,25);(wind,<,65);(direction,<,"S")}
273: {(temp,>=,25);(city,>,"Brasov");(stationid,>=,63);(direction,<=,"S")}
276: {(rain,!=,20.1);(temp,<,0);(wind,>=,78)}
32: {(city,=,"Craiova");(wind,<=,92)}
280: {(rain,<,43.8);(city,=,"Bucharest");(stationid,<=,45)}
301: {(stationid,<=,50);(wind,<=,100)}
287: {(date,<,14.06.2023);(city,=,"Cluj");(wind,>,64);(direction,>=,"NE")}
302: {(temp,!=,26);(city,=,"Craiova");(stationid,<=,59);(wind,<=,45)}
288: {(city,=,"Constanta");(wind,<=,76)}
305: {(stationid,>,3);(wind,<,34)}
307: {(temp,<=,8);(city,=,"Brasov");(direction,!=,"E")}
295: {(rain,<,7.4);(city,>=,"Brasov");(wind,<=,59)}
313: {(rain,<,47.7);(temp,<=,18);(city,=,"Brasov");(wind,>,86)}
34: {(rain,>,47.9);(city,=,"Iasi");(wind,<=,41);(direction,>,"S")}
297: {(date,>,28.03.2025);(temp,<=,22);(city,=,"Bucharest");(stationid,<=,74)}
299: {}
36: {(temp,<=,-5);(city,<=,"Constanta");(direction,<=,"E")}
321: {(rain,<,46.1);(temp,<,12);(city,=,"Cluj");(stationid,>=,90);(wind,>=,6);(direction,!=,"SW")}
300: {(city,=,"Iasi");(wind,>=,85)}
303: {(city,=,"Iasi")}
322: {(rain,>,38.6);(temp,<,14);(wind,<,72)}
304: {(rain,<=,13.0);(city,=,"Iasi");(wind,>,41)}
37: {(date,!=,20.10.2024);(temp,>=,10);(city,<=,"Craiova");(stationid,<=,45);(wind,<,90)}
310: {(temp,<,-4);(city,<,"Brasov");(stationid,<=,74)}
325: {(rain,>=,48.5);(city,!=,"Craiova");(wind,!=,26);(direction,<,"E")}
314: {(rain,<=,31.0);(temp,!=,21);(city,=,"Iasi")}
42: {(temp,!=,26);(city,=,"Iasi");(wind,>=,66)}
315: {(city,=,"Cluj");(stationid,>,42)}
323: {(rain,>=,9.7);(temp,>=,-8);(city,=,"Brasov");(stationid,>=,31);(wind,!=,83)}
43: {(city,=,"Brasov");(stationid,<=,90)}
330: {(date,<,29.06.2024);(temp,!=,11);(city,=,"Bucharest");(stationid,!=,31);(wind,>=,16)}
324: {(rain,<,13.9);(city,=,"Iasi");(wind,!=,18);(direction,<,"N")}
326: {(city,=,"Cluj");(stationid,<=,69)}
46: {(temp,!=,3);(city,!=,"Brasov");(wind,>=,47)}
333: {(temp,<=,26);(city,=,"Cluj");(stationid,<=,45);(wind,>,1)}
327: {(city,=,"Cluj");(stationid,!=,4);(wind,<=,75)}
49: {(temp,>,-9);(city,=,"Cluj")}
335: {(temp,>=,-6);(city,=,"Bucharest");(direction,>,"N")}
328: {(rain,>=,49.9);(temp,<,2);(city,=,"Cluj");(wind,<=,40);(direction,<,"NE")}
329: {(temp,>=,3);(city,=,"Constanta");(direction,>=,"SW")}
334: {(rain,>=,6.9);(city,=,"Constanta");(wind,>=,52)}
336: {(date,<=,18.04.2023);(stationid,<,4)}
342: {(city,=,"Timisoara");(wind,!=,44)}
337: {(city,<=,"Iasi")}
346: {(rain,<,3.1);(temp,!=,28);(city,=,"Iasi");(stationid,<=,8);(direction,>=,"NW")}
351: {(city,>,"Constanta");(wind,>,36);(direction,<,"SE")}
357: {(rain,>=,34.7);(city,>=,"Iasi");(stationid,!=,64);(wind,>,90)}
338: {(rain,>,34.4);(temp,>=,20);(city,=,"Brasov");(stationid,!=,88);(direction,!=,"S")}
358: {(rain,<=,8.3);(city,=,"Craiova");(wind,<=,20)}
359: {(rain,<=,29.9);(city,=,"Craiova");(wind,>,96)}
339: {(rain,!=,22.2);(temp,<,15);(city,=,"Constanta");(wind,<,100)}
50: {(rain,>,32.7);(city,=,"Cluj")}
362: {(temp,<=,-4);(city,=,"Iasi");(stationid,!=,84);(direction,>=,"SW")}
340: {(rain,<=,39.2);(direction,<,"NE")}
364: {(date,<=,03.12.2023);(temp,<=,-7);(city,=,"Constanta")}
51: {(rain,>,6.4);(temp,!=,-10);(city,=,"Timisoara");(stationid,!=,63);(wind,<=,52)}
365: {(date,!=,09.01.2025);(rain,!=,44.4);(temp,<,-8);(city,=,"Constanta")}
52: {(rain,>,40.7);(city,=,"Cluj");(wind,<,81)}
348: {(temp,<=,21);(city,!=,"Constanta");(wind,>,55)}
53: {(city,=,"Bucharest");(stationid,<=,96);(wind,!=,81)}
349: {(date,>=,22.10.2025);(city,=,"Cluj");(direction,<,"E")}
54: {(temp,>,27);(city,=,"Craiova");(wind,<=,9)}
366: {(city,<=,"Cluj");(stationid,<,71)}
57: {(rain,>=,1.1);(city,<,"Craiova");(wind,!=,28)}
367: {(city,<=,"Bucharest");(wind,!=,2)}
368: {(city,=,"Cluj");(direction,>=,"NW")}
350: {(rain,>=,45.4);(city,=,"Constanta");(wind,<,72)}
59: {(temp,!=,16);(city,=,"Iasi");(wind,>=,2)}
64: {(rain,>=,10.1);(temp,<,21);(city,=,"Craiova");(wind,<,21)}
370: {(rain,>=,1.1);(temp,>=,24);(city,=,"Cluj")}
65: {(rain,<=,8.4);(temp,<,-3);(city,=,"Brasov");(stationid,<,42)}
384: {(temp,!=,26);(city,=,"Bucharest");(stationid,<=,77)}
354: {(rain,>=,12.5);(temp,<=,-2);(city,=,"Cluj")}
66: {(rain,<,38.3);(city,=,"Craiova");(wind,<,52)}
356: {(rain,<=,9.4);(temp,<=,30);(city,>=,"Cluj");(stationid,<,13);(wind,<=,76)}
67: {(rain,<,19.3);(temp,!=,24);(city,=,"Timisoara");(wind,>=,24)}
369: {(date,>,24.12.2025)}
68: {(date,<=,09.03.2025);(city,=,"Brasov");(stationid,<=,8)}
374: {(temp,!=,14);(city,=,"Iasi");(stationid,<=,97);(wind,!=,7)}
377: {(city,=,"Timisoara")}
379: {(city,=,"Brasov")}
382: {(city,=,"Cluj")}
391: {(rain,>=,8.8);(city,=,"Bucharest");(wind,>,33)}
386: {(rain,<=,48.0);(temp,!=,23);(city,=,"Craiova");(wind,>=,63)}
74: {(temp,<,26);(city,=,"Iasi");(wind,>,87)}
392: {(date,>,07.01.2024);(rain,>,17.6);(temp,!=,9);(city,=,"Cluj");(wind,!=,8)}
397: {(temp,>=,26);(city,!=,"Bucharest")}
389: {(rain,>,34.4);(city,=,"Constanta")}
76: {(rain,>,4.6);(temp,>,30);(wind,<=,46)}
399: {(temp,>=,-5);(city,=,"Brasov");(stationid,!=,97);(wind,>,90);(direction,!=,"NW")}
390: {(city,=,"Craiova")}
79: {(city,=,"Craiova");(wind,>,95)}
400: {(date,!=,02.06.2025);(rain,!=,20.0);(temp,<=,14);(city,>,"Constanta");(wind,>,22);(direction,!=,"NE")}
395: {(temp,!=,-7);(city,<=,"Craiova");(stationid,>,44)}
80: {(temp,>,20);(city,=,"Bucharest");(wind,!=,92)}
409: {(city,=,"Brasov");(wind,<=,49)}
402: {(city,=,"Cluj");(stationid,<=,74)}
82: {(rain,>,22.0);(city,=,"Craiova");(stationid,>=,67);(wind,!=,46)}
85: {(city,=,"Brasov");(wind,<=,40)}
404: {(city,!=,"Cluj");(wind,>,7);(direction,!=,"W")}
415: {(temp,>=,27);(city,!=,"Iasi");(wind,>=,40)}
423: {(temp,!=,26);(city,=,"Brasov");(stationid,>=,86);(direction,>,"NE")}
405: {(city,=,"Bucharest");(stationid,>,18);(wind,>=,88)}
86: {(rain,!=,18.8);(wind,<,43)}
428: {(temp,<=,20);(wind,<=,18)}
408: {(rain,<,7.9);(temp,>,-8);(city,>=,"Timisoara");(wind,>=,12)}
431: {(city,<,"Craiova")}
87: {(rain,<=,27.6);(city,=,"Iasi");(stationid,!=,96);(wind,<=,56)}
433: {(rain,>=,7.7);(temp,<,5);(city,<=,"Cluj")}
93: {(temp,!=,3);(city,=,"Brasov");(stationid,<,59);(wind,>=,33)}
410: {(date,>=,07.10.2024);(rain,<,23.0);(city,=,"Bucharest")}
434: {(city,=,"Bucharest")}
436: {(rain,<=,31.9);(temp,<=,22);(city,=,"Timisoara");(wind,>=,75)}
95: {(temp,<=,-2);(city,!=,"Craiova");(stationid,>=,32);(wind,<,2)}
411: {(rain,>=,17.2);(temp,>=,19);(city,=,"Timisoara")}
438: {(temp,!=,-1);(city,<=,"Iasi")}
98: {(rain,!=,40.2);(temp,<=,5);(city,!=,"Constanta");(wind,<,87)}
439: {(rain,<,4.0);(city,=,"Brasov");(stationid,<,25);(wind,<=,65)}
416: {(rain,<,11.5);(temp,>,30);(city,>=,"Bucharest")}
99: {(city,=,"Cluj");(stationid,<=,92)}
425: {(temp,<,-1);(city,>,"Bucharest");(wind,>=,46)}
443: {(date,<=,29.07.2024);(rain,>=,21.7);(temp,>=,22);(city,=,"Brasov");(stationid,!=,94);(wind,!=,79);(direction,!=,"S")}
103: {(rain,<,22.3);(temp,<,-4);(stationid,>,96)}
444: {(rain,<,31.0);(temp,>=,17);(city,=,"Cluj");(stationid,>=,93)}
426: {(rain,!=,2.8);(temp,>=,5);(city,=,"Timisoara");(wind,>=,64)}
446: {(rain,!=,7.7);(temp,<=,13);(city,<,"Iasi");(stationid,<=,67)}
427: {(city,=,"Brasov")}
106: {(city,=,"Bucharest")}
447: {(rain,<=,28.9);(temp,<,14);(city,=,"Timisoara");(direction,>=,"SE")}
429: {(rain,<=,15.9);(temp,<,23);(city,=,"Craiova");(wind,<=,88)}
112: {(city,!=,"Iasi");(wind,!=,25)}
450: {(date,>,28.11.2024);(temp,>=,-1);(city,<,"Craiova");(stationid,!=,1);(wind,>=,2)}
451: {(temp,<=,21);(city,=,"Craiova")}
430: {(city,=,"Constanta");(wind,!=,7)}
453: {(rain,>=,39.4);(city,=,"Bucharest");(wind,>,8)}
116: {(rain,!=,15.6);(temp,<,6);(city,=,"Brasov");(stationid,>=,29);(wind,>=,32)}
437: {(temp,!=,-4);(city,=,"Bucharest");(stationid,>=,76);(wind,<,95);(direction,!=,"E")}
460: {(temp,<,26);(city,=,"Iasi")}
117: {(city,=,"Timisoara");(stationid,>,19);(direction,>=,"SE")}
468: {(city,=,"Craiova")}
440: {(rain,<,34.8);(city,<,"Brasov");(stationid,>,10);(direction,>,"NW")}
119: {(temp,<,2);(city,!=,"Craiova");(stationid,<,84);(wind,>=,58);(direction,<=,"NW")}
122: {(city,=,"Iasi");(wind,>,93)}
469: {(rain,<,12.5);(temp,>,-1);(city,=,"Craiova");(stationid,<=,14);(wind,!=,90)}
124: {(rain,>=,27.7);(temp,<,15);(city,<=,"Bucharest");(wind,!=,80)}
470: {(rain,!=,7.1);(temp,>,13);(city,=,"Constanta")}
455: {(temp,>=,18);(city,=,"Timisoara")}
456: {(temp,>,2);(city,>=,"Bucharest");(direction,>=,"W")}
126: {(rain,!=,23.7);(temp,<=,-6);(city,>=,"Bucharest");(wind,>,75)}
474: {(rain,<,29.1);(temp,>,-2);(city,=,"Cluj");(stationid,!=,97);(wind,>=,24);(direction,<=,"W")}
476: {(temp,!=,15);(city,=,"Bucharest");(stationid,>,3);(wind,>,32)}
457: {(date,<,22.08.2024);(temp,>=,3);(city,=,"Timisoara")}
129: {(rain,<,10.0);(city,=,"Timisoara")}
481: {(temp,!=,15);(city,=,"Brasov");(wind,>=,58)}
484: {(temp,>,-1);(city,=,"Bucharest")}
131: {(temp,>,11);(city,=,"Brasov");(wind,>,15)}
488: {(temp,<,-4);(city,!=,"Craiova");(wind,<,94)}
133: {(temp,<,9);(city,>,"Cluj")}
492: {(wind,<,4)}
495: {(city,=,"Brasov");(wind,<,86)}
136: {(rain,!=,40.2);(city,>,"Brasov");(wind,<=,63)}
458: {(temp,>,-1);(city,=,"Craiova");(wind,>,20);(direction,>,"E")}
505: {(date,<=,04.08.2024);(rain,>,3.8);(city,>,"Cluj");(wind,<,75)}
506: {(rain,<=,30.1);(temp,>,7);(city,=,"Constanta");(stationid,<=,84)}
137: {(temp,<,29);(city,<,"Constanta")}
514: {(rain,>,43.7);(temp,!=,12);(city,=,"Craiova");(stationid,>=,83)}
461: {(city,<=,"Craiova");(stationid,!=,86);(wind,>=,76)}
516: {(temp,!=,1);(city,=,"Iasi")}
139: {(temp,!=,29);(city,=,"Constanta");(wind,!=,32)}
520: {(temp,>,7);(city,=,"Bucharest");(stationid,>=,53)}
463: {(rain,!=,5.3);(temp,!=,25);(city,=,"Timisoara");(wind,<,3)}
465: {(temp,!=,4);(city,=,"Bucharest");(wind,<=,26)}
148: {(temp,<,22);(city,>=,"Cluj");(stationid,>=,72);(wind,>,39)}
471: {(rain,<,0.8);(temp,>,-6);(city,=,"Constanta");(wind,>,68)}
155: {(city,<=,"Iasi");(wind,<,27)}
472: {(temp,<=,2);(city,=,"Craiova");(stationid,<=,28)}
521: {(temp,>,4);(city,=,"Iasi");(wind,<=,54)}
473: {(city,=,"Bucharest");(stationid,!=,89);(wind,!=,19)}
522: {(rain,>,6.6);(city,<,"Timisoara")}
156: {(temp,<=,2);(city,=,"Constanta")}
524: {(rain,>=,27.1);(city,=,"Constanta");(wind,<,7)}
157: {(temp,>=,17);(city,=,"Timisoara");(direction,!=,"S")}
525: {(temp,>=,14);(city,=,"Bucharest");(wind,>,73)}
475: {(temp,<,2);(city,=,"Constanta");(stationid,<,32);(wind,!=,99)}
534: {(rain,!=,35.0);(city,=,"Brasov");(stationid,<,30)}
535: {(rain,>=,23.2);(city,<=,"Brasov");(wind,<,8)}
477: {(rain,<=,18.3);(temp,!=,21)}
540: {(temp,!=,-3);(stationid,<=,73)}
479: {(rain,<,37.8);(temp,!=,6);(city,=,"Timisoara")}
541: {(rain,>=,11.4);(temp,!=,9);(direction,<,"E")}
480: {(temp,>,9);(city,=,"Brasov");(wind,!=,52);(direction,>=,"SW")}
546: {(temp,>=,0);(city,=,"Brasov");(wind,!=,8)}
482: {(date,<,25.09.2025)}
549: {(rain,>=,16.5);(temp,<=,-5);(city,<,"Brasov");(stationid,<=,47);(wind,>,56)}
164: {(city,>=,"Timisoara");(wind,>=,24);(direction,!=,"SE")}
